Funding Source Name,Compensation,
"A Place For Mom, Inc.","44,000.00",
Woods At Sylvia Creek Llc,"55,000.00",
"Higher Influence, Llc","42,000.00",
"Rave Wireless, Inc.","40,000.00",
"Prime Therapeutics, Llc","132,881.04",
Andeavor,"135,000.00",
Nw Community Land Trust Coalition,"7,750.00",
Northwest Automatic Vending Assn (Boswell Consulting*),"9,382.79",
Just Strategy,"20,750.00",
Greater Spokane Inc,"230,000.00",
"Ucb, Inc","228,000.00",
4Culture,"25,624.00",
"Dowdupont (Thru National Strategies, Llc)","4,500.00",
Pacific Seafood (Gallatin Public Affairs*),"18,000.00",
"Mexichem Fluor, Inc. (Thru National Strategies, Llc)","4,500.00",
Wa St Coalition Mental Hlth Prof & Consumers,"19,950.00",
"Kindercare Education, Llc","98,000.00",
Accenture Llp,"58,500.00",
Audubon Washington (Martin Flynn Public Affairs Inc*),"20,000.00",
Wa St Patrol Lieutenants And Captains Assn,"82,500.00",
Hoh Tribe,"160,500.00",
Cithaeron,"5,000.00",
University Place School District,"35,910.00",
Professional Educator Standards Board,"4,000.00",
Education Reform Now Advocacy,"137,757.12",
Cities Insurance Assn Of Wa,"30,400.31",
Natl Abortion Rights Action League,"131,327.20",
Iupat Dist Council 5,"27,343.22",
"American Society Of Composers, Authors, & Publishers","48,450.00",
Mt Spokane 2000 (Thomas M Parker),"4,000.00",
Diageo (Melanie Stewart & Assoc Llc*),"3,200.00",
Portland General Electric,"114,000.00",
City Of Walla Walla,"73,250.00",
Caring For Washington,"45,000.00",
U.S. Hemp Roundtable,"18,000.00",
Port Of Bremerton,"113,916.66",
Sap Public Services Inc,"217,500.00",
Chief Seattle Club,"3,400.00",
Wa Land Title Assn,"113,400.00",
Wa Assn Of Conservation Districts (Martin Flynn Public Affairs Inc*),"68,000.00",
Tekni-Plex (Gano & Assoc*),"30,000.01",
"Axon Enterprise, Inc.","135,427.72",
F 5,"48,000.00",
Port Of Pasco,"36,000.00",
Wa Physicians Health Program,"21,577.16",
Lazarus Naturals,"60,000.00",
Peacehealth (D Michener & Co Inc*),"1,875.00",
Wa Technology Industry Assn (Insight Strategic Partners Llc),"96,000.00",
Entertainment Software Assn (Jean M Leonard*),"20,626.91",
Carruthers Catherine A,"130,000.00",
Port Of Hood River,"123,833.29",
Pfizer Inc,"295,500.00",
Food Northwest,"115,500.00",
City Of Ridgefield,"63,000.00",
Natural Resources Defense Council Inc. And Its Affiliates,"7,810.13",
Sci Shared Resources Llc,"192,000.00",
Methow Valley Citizens Council,"23,500.00",
Washington Smoke-Free Association,"50,000.00",
Pend Oreille Co Commission,"14,520.00",
Wa Beer & Wine Distributors Assn (Civic Group*),"362,500.00",
Heritage Capital Advocacy,"21,000.00",
"National Shooting Sports Foundation, Inc.","17,100.00",
Wa Assn Of Realtors,"1,362,400.00",
Childrens Campaign Fund,"18,086.62",
Cooke Aquaculture Pacific Llc (Gano & Assoc*),"15,000.00",
Wa Assn Of Vehicle Subagents,"232,590.74",
School Alliance,"235,390.00",
Gateway Aviation (Gano & Assoc*),"3,933.71",
Natural Extractions Inc,"31,000.00",
Saltchuk Resources Inc,"250,500.00",
Lewis Co Public Utility Dist #1,"209,250.00",
Capital Medical Center,"50,000.00",
Fsb Public Affairs,"17,500.00",
Aauw Of Washington State,"10,340.42",
Les Schwab Tire Centers (Patrick Dunn & Associates Ltd*),"15,750.00",
Appraisers Coalition Of Wa,"61,500.00",
Db3,"31,000.00",
Pioneer Human Services,"171,000.00",
Watv Access Coalition,"15,750.00",
Wgu,"39,000.00",
"Snohomish Valley Roofing, Inc.","8,380.00",
Family Policy Action,"12,038.20",
City Of Fife,"207,787.28",
Physicians Comm For Responsible Medicine,"4,755.27",
Leoff1 Coalition,"39,269.75",
Wa School Information Processing Coop,"16,389.37",
Northwest Kidney Centers,"114,000.00",
Independent Ins Agents & Brokers Of Wa,"294,550.00",
Hopelink,"215,000.00",
Mylan Inc,"196,000.00",
Wa Off Highway Vehicle Alliance,"10,500.00",
Cigar Assn Of America,"208,665.76",
Prevention Research Institute,"12,000.00",
Prba - The Rechargeable Battery Association,"9,000.00",
Wa Roundtable (Pierce Consulting Svcs Llc*),"10,935.23",
The Soccer Club Of Tacoma,"17,500.00",
"Arkema (Thru National Strategies, Llc)","4,500.00",
Northwest Agriculture Business Center,"30,000.00",
Public Consulting Group Inc (Thru Multistates),"210,250.00",
Teamsters Local 252,"2,467.20",
"North Pacific Paper Company, Llc","72,000.00",
Thurston County (Jennifer Ziegler),"35,250.00",
Perigee Fund,"5,181.25",
Wal-Mart Stores,"231,500.00",
Signature Healthcare Services Llc,"172,000.00",
Wa Roundtable,"529,302.76",
Farestart,"92,500.00",
Otsuka America Pharmaceutical Inc,"239,412.94",
Snohomish Co Ptba Corp,"403,749.81",
Green Diamond Resource Co,"26,283.31",
Samish Indian Nation,"393,750.00",
Wa Liquor Store Assn,"41,000.00",
Wa Bankers Assn (Pierce Consulting Svcs Llc*),"1,956.00",
Wa St Nurses Assn,"240,143.57",
Pasado'S Safe Haven,"42,000.00",
Schnitzer Steel Industries Inc,"216,828.00",
City Of Long Beach,"18,000.00",
Wa State Assn Of Plumbers & Pipefitters,"208,029.65",
Kitsap Transit,"292,000.00",
Port Of Bellingham (Mcbride Public Affairs Llc*),"87,874.00",
South Puget Sound Community College Foundation,"5,000.00",
Recompose (Christophersen Inc*),"15,648.55",
Recompose,"121,000.00",
American Institute Of Architects Wa Council (Boswell Consulting*),"14,912.79",
Nucor Steel Seattle Inc (Boswell Consulting*),"8,683.79",
Wa Farm Forestry Assn,"159,600.00",
Municipal Research & Services Center,"59,500.00",
3M Co,"179,883.29",
Puget Sound School Coalition/King Co School Coalition (Thru K And L Gates),"268,035.00",
Therapeutic Health Services,"50,100.00",
Lyft Inc,"276,679.07",
Verizon Northwest,"319,000.00",
Cal Portland Company,"228,000.00",
Checker Cab Of Sea-Tac Corp,"52,250.00",
Expedia Group (Gano & Assoc*),"3,200.00",
"Barreled, Llc","10,500.00",
The Washington Center,"6,000.00",
Civil Survival Project,490.00,
Seattle Children'S Hospital,"250,076.50",
Juliana Roe (Self),0.00,
Wa Academy Of Physician Assistants,"149,600.00",
Emily Wittman (Self),0.00,
Baseball Club Of Seattle (Seattle Mariners),"117,010.08",
Harmony House,0.00,
Washington Housing Alliance Action Fund,"1,346.73",
Jessica Epley (Self),0.00,
Mechanical Contractors Assn Western Wa,"292,958.27",
Sidewalk,0.00,
Tacoma Public Schools (Cascade Govt Affairs Llc*),"19,000.00",
Ymcas Of Wa State (Leblanc Strategies),0.00,
Wa St Podiatric Medical Assn (Melanie Stewart & Assoc Llc*),"7,700.00",
Susan G Komen Puget Sound Affiliate,"79,266.00",
Kimberly Mosolf (Self),0.00,
Garrison Bliss,"5,000.00",
Lily Wilson-Codega (Self),0.00,
Goodwill Of The Olympics & Rainier Region,"168,599.97",
Cleantech Alliance,"187,000.00",
"A Place For Rover, Inc.","143,000.00",
Schools Insurance Assn Of Wa (Capitol Solutions*),0.00,
Lummi Tribe,"209,600.00",
Christopher H Johnson (Self),0.00,
Lindsey R Grad (Self),0.00,
Wa St Assn Of Headstart Eceap,"65,695.66",
Public Generating Pool,"44,000.00",
Assisted Living Federation Of America,"52,000.00",
Olympic Cascade Services Inc,"20,000.00",
The Hermanson Family Timber & Land Companies,"15,000.00",
Natl Assn Of Chain Drug Stores,"45,047.44",
Pacific Public Media,"15,000.00",
City Of Ferndale,"80,446.00",
Pacific Northwest Theatre Owners Association,"7,000.00",
Medtronic Inc,"68,400.00",
Roche Diagnostics Corporation,"1,197.16",
Accenture Llp (Gallatin Public Affairs*),"35,100.00",
Vulcan Inc,"359,919.04",
Estate Living Gig Harbor Inc.,"7,000.00",
American Progressive Bag Alliance/Spi (Amber Carter Govt Relations Llc*),"3,000.00",
Associated Students Of Washington State University Spokane,"5,750.10",
Northwest Immigrant Rights Project,"7,274.80",
American Fidelity Corp,"85,000.00",
National Wooden Pallet And Container Assn,"3,000.00",
American Council Of Life Insurers,"198,749.96",
Childhaven,"77,500.00",
Washington Space Partnership,"64,980.00",
Wa Society Of Cpa'S,"413,870.91",
Master Bldrs Assn Of King & Sno Counties (David T. Ducharme),"135,000.00",
League Of Education Voters,"483,754.60",
United Transportation Union,"203,500.00",
Rite Aid Corporation,"259,434.00",
The 5Th Avenue Theatre Association,"4,000.00",
Toy Association,"276,000.00",
Rayonier Inc,"183,120.00",
Momsrising Together,"33,865.48",
Yakima Valley Memorial Hospital Dba Virginia Mason Memorial  (Melanie Stewart & Assoc Llc*),"2,700.00",
Yoga Alliance,"97,500.00",
Mj Durkan Inc,"1,375.00",
Natl Assn Of Social Workers Wa St Chapter,"34,755.00",
State Farm Insurance Companies (Jean M Leonard*),"20,626.91",
Wa St Tree Fruit Assn,"520,500.00",
Arnps United Of Wa St,"77,304.00",
"Plumbing-Heating-Cooling Contractors Of Washington (Public Affairs Consulting, Llc)","23,718.75",
Pierce Co Regional Council,"15,333.26",
Thermo Fisher,"6,000.00",
Dynamic Language,"48,000.00",
Zero Waste Wa,"52,030.30",
Wa Vape Assn,"15,000.00",
Zocdoc,"12,500.00",
Enhanced Capital,"25,000.00",
Advantage Capital,"186,000.00",
Wa East Asian Medicine Assn,"177,706.00",
"Youth Villages, Inc.","213,500.00",
Oneamerica,"224,439.80",
Prosperity Counseling & Treatment Services Inc,"77,000.00",
Port Of Kalama (D Michener & Co Inc*),"1,875.00",
Abbott Laboratories,"158,395.98",
Tulalip Tribes Of Wa,"217,500.00",
Puyallup Tribe Of Indians,"1,161,900.00",
"Latitude Development, Llc","32,500.00",
"Kenmore Air Harbor, Inc.","35,000.00",
Juvenile Products Manufacturers Association (Jpma),"2,600.00",
University Heights Center For The Community Association,"5,500.00",
Zillow,"43,500.00",
National Council Of State Boards Of Nursing (Seib Policy & Public Affairs*),"19,375.00",
Wa Occupational Therapy Assn,"134,600.00",
Mvd Express,"38,000.00",
Lifepoint Health,"135,000.00",
Millercoors,"191,329.30",
Coalition For A Respectful Workplace,"2,004.00",
Pacificorp,"407,625.00",
Wa St University (Christophersen Inc*),355.88,
Independent Inc (Boswell Consulting*),622.75,
United Way Of Snohomish Co,"4,756.22",
Okanogan Co Pud,"199,500.00",
Vertex Pharmaceuticals Inc,"38,000.00",
Post-Prison Education Program,"16,350.00",
City Of Kenmore,"219,720.00",
Sunovion Pharmaceuticals Inc. (Martin Flynn Public Affairs Inc*),"110,000.00",
Physical Therapy Assn Of Wa,"290,114.31",
American Civil Liberties Union Of Wa,"585,060.93",
"Schweitzer Engineering Laboratories, Inc.","36,000.00",
Walgreens,"352,715.36",
Securities Industry And Financial Markets Assn,"141,000.00",
Pharmaceutical Care Management Assn,"460,000.00",
Normandy Holdings Llc,"63,000.00",
Cascade Asset Development Llc,"67,000.00",
Reich & Tang Networks Llc,"5,200.00",
United Trustees Assn,"83,400.15",
Uipath Inc.,"24,000.00",
Cedar River Clinics,"20,675.00",
Ameresco Quantum,"79,000.00",
Wa St Council Of Farmer Cooperatives (Coyne Jesernig Llc*),"136,000.00",
Dynamic Language (Christophersen Inc*),"7,355.76",
Wa Apartment Assn,"233,565.51",
Empire Health Foundation,"51,693.69",
City Of Lacey (Mark O Brown),"21,536.00",
Snoqualmie Tribe ,"224,416.56",
Teachers Insurance & Annuity Assn,"14,000.00",
Mcdonald'S,"189,999.81",
Compassion & Choices,"2,727.27",
Western Fireworks Inc,"12,000.00",
Pierce Co Human Services Coalition,"13,402.00",
Yakima Valley Memorial Hospital Dba Virginia Mason Memorial ,"253,875.00",
Independent Pharmacy Cooperative,"9,000.00",
Shell Oil Co,"285,000.00",
Abate Of Wa,"3,311.52",
Delta Air Lines,"311,550.00",
"Aristocrat Technologies, Inc.","13,750.00",
Northwest Kidney Centers (Christophersen Inc*),"14,615.31",
Christian Science Comm On Publication,"2,000.00",
Intl Council Of Shopping Centers,"45,200.00",
Alkylphenols & Ethoxylates Research Council,"24,999.99",
"Ca, Inc.","116,000.00",
Center For Responsible Lending,199.71,
Wa Rural Electric Co-Op Assn,"472,000.00",
Sourcewell,"87,250.00",
Retired Public Employees Council Of Wa,"158,550.00",
Benton Rural Electric Assn (Patrick Dunn & Associates Ltd*),"11,000.00",
Quincy Valley Medical Center,"1,000.00",
Intl Code Council,"183,207.33",
Pacific Whale Watch Association,"146,260.00",
Confluence Health,"91,997.00",
First 5 Fundamentals,205.47,
Port Of Tacoma,"188,191.37",
Fresenius Medical Care North America,"307,750.00",
Washington And Idaho Railway,"10,000.00",
Evergreen School Dist #114 (Capitol Solutions*),"40,200.00",
Washington Trails Association,"69,786.50",
Stacs Dna Inc,"40,416.67",
Internet Association,"249,891.00",
"Wa Collectors Assn (Public Affairs Consulting, Llc)","2,643.75",
Society Of Professional Engineering Employees In Aerospace Speea,"231,961.36",
Recology ,"15,000.00",
Natl Patient Advocate Foundation,"7,000.00",
Ste Michelle Wine Estates Ltd,"256,500.00",
Sunrise Services Inc,"117,212.00",
Puget Sound Clean Air Agency,"171,711.02",
Nucor Steel Seattle Inc,"243,000.00",
Liberty Dental Plan,"10,000.00",
Natl Federation Of Independent Business,"521,325.41",
Wa Distillers Guild,"85,500.00",
Within Reach,"129,400.00",
Wa St Assn Of Childrens  Advocacy Centers,"13,750.00",
Department Of Health,"39,687.50",
Fedex,"370,500.00",
Sellstrom Global Shipping Inc,"15,000.00",
Washington Mesa (Marie Sullivan Public Affairs*),"4,500.00",
King Co Sexual Assault Resource Center,"74,000.00",
Justice For Girls Coalition Of Washington State,"30,000.00",
Fire Sprinkler Advisory Bd Of Puget Sound,"111,000.00",
Campion Advocacy Fund,"91,800.00",
Wine Institute,"199,166.60",
Associated Builders & Contractors (Western Wa Chapter),"198,392.63",
City Of Sumner (Washington 2 Advocates*),"30,000.00",
Construction Material Recycling Assn - Nw Chapter,"33,000.00",
Lane Powell,"30,000.00",
Joos Paul,"1,150.00",
Wa St Beekeepers Assn,"2,200.00",
Purse Seine Vessel Owners Assn,"40,500.00",
Clark Public Utilities,"279,500.00",
Aarp Wa St Office,"208,300.07",
Cedar River Clinics (Pam Crone Legislative Consulting Svcs*),"19,225.00",
Motion Picture Assn Of America,"115,000.00",
City Of Covington,"138,252.00",
Puget Sound Energy Inc,"1,858,638.64",
Wa Beverage Assn (Boswell Consulting*),"8,911.57",
Gun Owners Action League Of Wa,"33,000.00",
Wa St Bail Agents Assn,"103,500.00",
Baseball Club Of Seattle (Seattle Mariners) (Rick L Wickman),"8,668.00",
Nationstar Mortgage Llc,"75,000.00",
Wa Wildlife & Recreation Coalition,"262,600.00",
Construction Industry Training Council Of Wa,"10,000.00",
Building Industry Assn Of Wa (Gano & Assoc*),"34,057.78",
Teach For America - Wa,"27,250.00",
"Moneytree, Inc.","190,851.00",
Washington Childcare Centers Association,"56,000.00",
American Forest & Paper Assn,"167,200.00",
Clark Co High Technology & Community Council (Htc),"27,080.00",
Planned Parenthood Votes Nw & Hawaii,"58,404.72",
Nancy Lemay,"24,500.00",
Wa St Society Of Anesthesiologists,"78,500.00",
The College Board (Christophersen Inc*),"24,416.31",
Uber Technologies Inc And Affiliates (Boswell Consulting*),"8,635.04",
Fidelity National Financial Inc,"237,500.05",
Wa Insurers (Jean M Leonard*),"20,626.91",
Pacific Propane Gas Assn,"132,199.98",
Wa St Chapter Of Assoc Public Safety Communications Officials,"109,200.00",
Small & Midsize Transit Alliance,"116,000.00",
Pax Labs,"36,000.00",
Wa St Potato Commission,"542,149.74",
Astria Health,"276,000.00",
Solar Installers Of Wa,"257,000.00",
Wa State Convention Center Public Facilities Dist (Bogard & Johnson Llc*),"63,387.00",
Save The Children Us Programs,"109,000.00",
First Washington,"81,900.00",
Regionalcare Hospital Partners Holdings D/B/A Rcch Healthcare Partners,"63,000.00",
Open Arms Perinatal Services (Amber Ulvenes),"1,250.00",
Port Blakely,"67,200.00",
Olympia School District,"30,750.00",
Wa St Catholic Conference (Thomas M Parker),"8,600.00",
Lyft Inc (Insight Strategic Partners Llc),"88,000.00",
The College Board,"322,442.00",
Smiledirectclub,"48,000.00",
"Cloudpwr, Llc.",100.00,
Fuse Washington,"9,873.79",
Copsync Inc,"25,000.00",
Plasma Protein Therapeutics Association,"65,000.00",
Wa Coalition Of Sexual Assault Programs,"110,281.38",
Non-Profit Insurance Program,"145,000.00",
Washington Orthotic And Prosthetic Association,"26,586.00",
Washington Cannabis Association,"6,500.00",
"Bio Energy (Washington), Llc","36,300.00",
Davita Inc.,"294,000.00",
City Of Chelan,"78,000.00",
University Of Wa At Tacoma,"2,640.00",
City Of Issaquah,"242,700.00",
Assn Of Wa Housing Authorities,"76,770.00",
Wa Biotechnology & Biomedical Assn,"35,000.00",
Identity Clark Co,"100,306.28",
Nationwide Insurance,"159,000.00",
Wa St Child Care Resource/Referral Network,"133,309.06",
Washington Coalition To Abolish The Death Penalty,"2,762.00",
Weyerhaeuser Co,"515,113.93",
Pierce Co Alliance (Melanie Stewart & Assoc Llc*),"102,700.00",
Wa Education Assn - Lower Columbia,473.62,
City Of Yakima,"201,125.00",
Opengov Inc (Miller Malone & Tellefson Ps*),"6,000.00",
Continental Casualty Co,"126,000.00",
Behind The Badge Foundation,"18,000.00",
City Of Kirkland,"303,000.00",
Puget Consumers Co-Op Dba Pcc Community Markets (Grist Public Affairs Llc),935.71,
Johnson & Johnson,"289,750.32",
Fairfax Hospital,"226,200.00",
Wa Wholesale Druggist Assn,"292,061.68",
Washington State Public Health Association,"78,750.00",
Wa Skill Game,"1,000.00",
Pawn 1,"104,500.00",
Tiny Trees Preschool,"18,600.00",
Sicpa Product Security Llc,"9,000.00",
"Amazon.Com Services, Inc.","138,583.68",
"Pra Group, Inc. ","27,000.00",
Washington Area Council Awppw,"79,659.95",
Laura Lippold (Self),271.00,
Gateway Aviation,"142,500.00",
Wa St Food Truck Assn,"55,000.00",
Kalispel Tribe,"871,000.00",
Nw Sportfishing Industry Assn,"134,500.00",
Wa Assn Of Sewer & Water Districts,"346,025.00",
Nw Health Law Advocates,"22,315.36",
Wa St Community Action Partnership,"131,890.00",
Washington State Medical Oncology Society,"39,000.00",
American Waterways Operators,"82,500.00",
Northwest Credit Union Assn,"597,430.50",
Group Health Cooperative,"156,900.00",
Uber Technologies Inc And Affiliates (Gano & Assoc*),"14,000.00",
Wa St Snowmobile Assn,"84,676.62",
"Peacehealth Networks On Demand, Llc","1,120.00",
Seattle Public Schools,"169,100.00",
Wa St Society Of Ocularists,"25,000.00",
Associated General Contractors Of Wa,"431,395.21",
Wa Public Utilities Dists Assn,"858,405.04",
Sci Shared Resources Llc (Gano & Assoc*),"19,569.73",
"Holland Partner Group (Holland Government Affairs, Llc)","56,754.09",
City Of Kelso,"167,785.00",
Samish Indian Nation (Arledge Group),"8,100.00",
Justice Action Network,"26,395.20",
Wa Assn Of Area Agencies On Aging,"191,688.00",
Community Employment Alliance,"85,415.83",
Hcaoa Washington,"50,000.00",
Economic Opportunity Institute,"35,177.81",
Washington Filmworks,"11,900.00",
Puget Sound Car Wash Association,"33,000.00",
T-Mobile Usa Inc,"419,450.00",
Economic Alliance Snohomish County ,"24,500.00",
Cypress Creek Renewables,"65,000.00",
Pure Watercraft,"3,000.00",
Lincoln Co Commission,"16,500.00",
"The Gordian Group, Inc.","32,000.00",
Salmon For The Future,"6,000.00",
Teamsters Local Union #117,"573,500.08",
Woodland Park Zoo Society,"222,750.00",
City Of Medina (Sound View Strategies Llc*),"78,500.00",
"Stand For Children, Inc. (Christophersen Inc*)","15,994.69",
Peacehealth,"651,281.68",
Farmers Insurance Group,"66,766.28",
Northwest Agricultural Cooperative Council,"84,000.00",
Innocence Project Northwest,"13,387.00",
Fish Nw,"52,500.00",
Russell Investment Group,"448,909.83",
Boise Cascade Llc,"142,500.00",
"Tvi, Inc.","32,500.00",
American International Group Inc  (Jean M Leonard*),"20,626.91",
Natl Assn Of Credit Mgmt,"68,856.00",
Pacific Northwest Regional Council Of Carpenters,"356,993.08",
Act Inc,450.00,
Takeda Pharmaceuticals,"212,000.00",
"Trinity Highway Products, Llc",104.00,
Fraternal Order Of Police,"190,000.00",
Westaf (Outcomes By Levy Llc*),"39,520.00",
North I-90 Odessa Aquifer Groundwater Replacement Project,"30,000.00",
Wa Employment Lawyers Assn,"32,050.00",
Space Exploration Technologies Corp. (Spacex),"96,600.00",
Astrazeneca Pharmaceuticals Lp,"112,849.00",
Washington State Association Of Boundary Review Boards,"9,000.00",
Sno-King Water District Coalition,"127,272.00",
Innovare Strategies Nw,"10,500.00",
Motor Vehicle Software Corp,"337,500.00",
Snohomish Co,"418,666.45",
Pax Labs (Mike Hoover Public Affairs),"18,000.00",
True Blue Inc,"86,500.00",
American Academy Of Pediatrics-Wa Chapter,"108,383.45",
Central Valley School District,"14,816.67",
Baxter Healthcare Corporation C/O Multistate Associates Inc.,"28,000.00",
Sanofi Us,"174,700.25",
Assoc Students Of Eastern Wa University,600.00,
Wa Interscholastic Activities Assn,"245,000.00",
Washington State School Directors Association,"51,294.50",
State Privacy & Security Coalition,"328,529.00",
Continental Casualty Company (Cna Insurance Companies) (Gano & Assoc*),"9,707.25",
Bellevue Chamber Of Commerce,"7,000.00",
Highline Grain Llc,"185,000.00",
Wa Trust For Historic Preservation,"56,000.00",
Washington State Medical Oncology Society (Kathryn Kolan),"13,500.00",
City Of Spokane,"256,670.00",
Aerospace Futures Alliance Of Washington Ltd,"1,009,544.88",
American Dealer License Inc,"15,500.00",
Nw Dairy Assn & Darigold Inc,"288,000.00",
Wa St Grange,"150,000.00",
Applus Technologies (Thru Multisate),"30,000.00",
Valley Medical Center (Boswell Consulting*),"70,901.11",
Columbia River Pilots,"33,569.00",
Carahsoft Technology Corporation,"2,000.00",
Premera Blue Cross,"725,720.16",
King Co Council (David S Foster),"131,725.00",
Historylink,"2,000.00",
Unified Grocers,"54,000.00",
"Trilogy Integrated Resources, Llc","24,000.00",
Institute For Justice,"2,191.75",
City Of Pasco,"208,332.39",
Parametrix,"78,300.00",
"Redflex Traffic Systems, Inc.","99,500.00",
"Iii Branches Law, Pllc","50,000.00",
Civics Proficiency Institute,"12,000.00",
Northwest Resources Ii Inc,"10,000.00",
Midwives Assn Of Wa State (Amber Ulvenes),"3,750.00",
"Consolidated Bookkeeping & Management Services Inc (Public Affairs Consulting, Llc)",300.00,
American Planning Assn Wa Chapter,"120,600.00",
Par 4 Investments Llc,"20,667.00",
Tusk/Montgomery Philanthropies,"25,000.00",
Wa St Fairs Assn,"79,075.99",
Save Our Wild Salmon,"6,000.00",
98Point6 Inc. (Jean M Leonard*),"16,500.00",
Wa St Assn Of Broadcasters,"116,800.00",
Starbucks,"285,000.00",
Wa Christmas Tree Growers,"42,750.00",
"Crossfit, Inc.","223,032.42",
Northwest Agricultural Cooperative Council (Coyne Jesernig Llc),"69,000.00",
International Brotherhood Of Electrical Workers 46,"33,656.80",
Igt Global Solutions Corp,"330,000.00",
Fieldturf,"5,250.00",
Schools Insurance Assn Of Wa,"45,852.10",
University Of Washington,"806,400.00",
Wa Assn Of Sheriffs & Police Chiefs,"184,525.18",
Bellevue School District,"77,500.00",
Spokane Public Facilities Dist,"116,000.00",
Washington State Alliance Of Ymcas,"58,600.00",
Seiu 775 Benefits Group,"20,802.17",
Washington Association For Infant Mental Health,"2,450.00",
Ventures,"19,850.00",
Real Estate Valuation Advocacy Assoc,"20,000.00",
"Wa Chapter, Acep","34,500.00",
Casa Latina,50.00,
C-Tran,"222,000.00",
Reimbursement Services Llc,"25,000.00",
Newland Communities Dba Nash Cascadia Verde Llc,"283,000.00",
Aaa Washington,"1,365.80",
Broadcast Music Inc,"34,829.26",
Resource Assets Inc.,"17,000.00",
Velicahn Inc,"24,700.00",
Moneytree Inc (Thru Multistate),"35,000.07",
Natl Home Service Contract Assn (Thru Chartrand Legal Mgmt),"14,000.00",
Global Discoveries Ltd (Gano & Assoc*),"15,000.00",
Motorola Solutions Inc (Arledge Group),"24,000.00",
Washington Progress Alliance,293.71,
Blue Star Gas,"7,800.00",
"Longview Fibre Paper And Packaging, Inc. D/B/A Kapstone Kraft Paper Corporation","125,500.00",
Mcdonald'S (Mcbride Public Affairs Llc*),"67,088.02",
Intl Assn Of Machinists & Aerospace Workers Dist Lodge 751,"156,392.38",
Verified Voting,"2,500.00",
League Of Women Voters Washington (Nancy L Sapiro),"8,875.00",
"Interexchange, Inc.","5,250.00",
Irene Plenefisch (Self),250.00,
Community Residential Services Assn,"183,300.00",
Central Wa University,"42,873.98",
Costco Wholesale,"285,000.00",
Wa Home Care Assn,"44,002.00",
Growth Energy,"195,000.00",
"Northwest Innovation Works, Kalama, Llc","52,000.00",
Handy Technologies Inc (Gano & Assoc*),"6,250.00",
Cambridge Assessment International Education,173.10,
Fairwood Pet Center,"15,000.00",
Intuit,"66,000.00",
Girls Who Code,"49,000.00",
Intl Assn Of Machinists & Aerospace Workers Dist Lodge 751 (Paribello Public Affairs),"17,580.64",
"Honeywell International, Inc.","76,684.00",
Port Of Cascade Locks,"2,250.00",
Washington Business Alliance,"67,500.00",
Wa Academy Of Eye Physicians & Surgeons,"341,444.50",
Sherwood Community Services,"3,903.98",
Northwest Energy Coalition,"100,402.27",
Distilled Spirits Council Of The Us,"285,000.00",
Washington Schools Risk Management Pool (Alex Hur),"7,250.00",
4000 Property Llc,"33,000.00",
American Progressive Bag Alliance/Spi,"49,000.00",
Compass Health,"370,551.00",
Wright Runstad Assoc Limited Partnership,"171,000.00",
Disability Rights Wa,"203,840.78",
Maverick Gaming Llc (Coaxis Public Affairs ),"85,000.00",
Syngenta,"114,000.00",
"U.S. Anesthesia Partners, Inc.","259,387.00",
Northpoint Recovery Llc,"63,000.00",
Arc Of Snohomish Co,6.49,
Wa Aggregates & Concrete Assn,"301,986.50",
Prof & Tech Employees Local 17,"273,710.22",
Parent Trust For Wa Children (Johnson Arledge Strategies*),"3,000.00",
Ibm Corporation,"41,100.00",
"Assurant, Inc.","68,000.00",
Continental Casualty Company (Cna Insurance Companies),"73,500.00",
Comcast Cable Communications,"682,037.49",
Respiratory Care Society Of Wa,"5,700.00",
Environment Washington,"31,959.71",
Lkq Corporation,"15,200.00",
American Behavioral Health Services Inc,"159,190.00",
Adobe,"20,000.00",
Wa Cattlemen'S Assn,"74,517.01",
City Of Orting,"2,100.00",
Wa Mortgage Bankers Assn,"117,000.00",
"Apptio, Inc.","5,000.00",
The Gallery Glass & Wares,"24,000.00",
Wa St Council Of Fire Fighters,"517,665.07",
City Of Gig Harbor,"189,999.81",
Washington Space Partnership (Jean M Leonard*),"25,025.00",
Neste Us Inc,"146,250.00",
American Public Works Assn,"114,000.00",
"American Rivers, Inc.","3,110.00",
Paradigm Outcomes,"112,000.00",
Dynamic Collectors Inc,"4,240.00",
"Consumer Reports, Inc","3,814.38",
Eastern Wa Quality Schools Coalition,"88,830.17",
Natl Water Company,"11,000.00",
Violet Power,"117,000.00",
Consumer Fireworks Safety Assn,"563,500.00",
Motor Vehicle Ancillary Products Assn,"12,500.00",
Ua Plumbers And Steamfitters Local 598,"197,740.99",
Hunters Heritage Council,"30,000.00",
Capital Benefit Services,"230,850.00",
Uber Technologies Inc (Gano & Assoc*),"8,500.00",
Wa Council For Behavioral Health,"204,000.00",
Wa Music Educators Assn,"1,320.00",
Climate Solutions,"364,268.64",
Childrens Alliance,"308,783.89",
Port Of Everett,"202,000.00",
Wa Pawnbrokers Assn,"78,900.00",
King County Juvenile Detention Guild,"9,750.00",
Live Nation Northwest,"63,000.00",
Pacific Nw Fertility On Behalf Of Washington State Building Families Coalition,"1,500.00",
Wa Public Interest Research Group,"22,739.65",
"Okta, Inc.","5,000.00",
Escrow Assn Of Wa,"102,600.00",
Wa Massage Owners Assn,"162,400.00",
